empId,property_code,ely,tdy,lte,uns,abs
1964,RVB,0,0,0,8,0
2215,RVB,0,0,0,2,2
449,RVB,0,0,0,2,0
2308,AGB,0,0,0,8,0
2283,ABP,0,0,0,1,0
1373,CCH,3,3,2,0,0
2247,PSL,0,0,0,10,0
2342,RVB,0,0,0,1,0
1406,HIL,0,0,6,1,0
925,AWH,0,1,2,1,0
2105,PSL,0,0,0,10,0
1474,AWH,0,0,0,10,0
2076,VAL,2,0,4,0,0
422,RVB,0,0,0,2,0
2082,VAL,0,0,5,0,0
240,AWH,0,5,3,1,4
2240,AWH,0,1,0,0,3
1332,GLN,0,0,2,0,0
1296,RVB,0,0,0,9,0
1665,AWH,0,0,0,7,0
2194,GLN,0,0,0,9,0
2023,PSL,0,0,0,9,0
118,MER,0,0,0,9,0
1330,RVB,0,0,0,2,0
630,HIL,0,0,1,0,0
116,MER,0,3,6,0,0
681,GLN,0,0,0,6,0
854,PSL,0,0,0,10,0
137,MER,0,0,0,11,0
2277,PSL,0,0,0,10,0
473,AWH,0,2,7,0,0
1966,MER,0,0,2,2,1
246,AWH,0,0,0,9,2
2210,AGB,0,0,0,4,0
668,RVB,0,0,0,2,0
1335,VAL,1,0,2,0,0
1872,AGB,0,0,6,0,0
2012,HIL,4,0,0,0,0
2030,WDL,0,0,0,1,0
285,CCH,8,0,9,0,0
252,AWH,0,4,1,2,0
467,AWH,7,0,4,0,1
164,VAL,2,0,9,0,0
587,ABP,3,4,2,5,0
468,AWH,2,0,3,0,0
197,VAL,0,0,1,0,0
579,ABP,2,1,4,0,0
1724,HIL,0,0,0,1,0
255,AWH,0,0,0,10,0
2313,MAY,0,0,0,9,0
1168,VAL,2,0,1,0,0
74,AGB,5,0,7,0,0
1669,MER,0,0,0,7,0
1624,MAY,0,0,0,7,0
1989,HIL,0,0,0,7,0
649,HIL,0,0,0,0,1
1736,GLN,0,0,0,7,0
153,VAL,0,0,4,0,0
2297,HIL,0,0,4,0,2
813,HIL,0,1,1,0,1
2216,RVB,0,0,0,6,0
1356,AGB,4,0,1,2,2
443,RVB,0,0,0,11,0
582,ABP,0,0,0,2,0
1641,RVB,0,0,0,9,0
1972,HIL,0,0,3,0,0
627,ABP,0,0,0,1,0
2341,PSL,0,0,0,9,0
596,ABP,0,1,6,0,1
588,ABP,0,0,4,0,0
1762,CCH,2,2,2,0,0
218,AWH,0,0,1,4,1
2295,RVB,0,0,0,5,0
2311,MER,0,1,0,0,0
2256,AGB,0,0,0,8,0
577,ABP,0,0,0,1,0
172,VAL,0,0,0,10,0
1549,HIL,0,0,2,0,0
178,VAL,0,0,0,10,0
2166,MAY,0,0,0,10,0
270,CCH,5,0,0,0,0
1755,PSL,0,0,0,10,0
1671,ABP,1,0,5,0,0
353,MAY,0,0,0,1,0
824,PSL,0,0,0,6,0
899,AWH,0,0,1,0,0
1341,ABP,1,2,8,0,0
2241,HIL,0,0,0,1,0
201,VAL,0,0,2,0,0
851,HIL,0,0,4,0,0
1782,PSL,0,0,0,10,0
1055,PSL,0,0,0,5,0
1891,PSL,0,0,0,5,0
1595,GLN,0,0,0,6,0
230,AWH,1,2,1,1,0
1391,ABP,0,0,10,0,0
861,MAY,0,0,0,5,0
1088,MER,0,3,0,3,0
816,HIL,0,0,0,10,0
374,CCH,0,0,0,0,10
1193,MAY,0,0,0,0,4
375,AWH,0,0,0,0,6
639,HIL,0,0,0,6,0
2317,GLN,0,0,0,6,0
409,ABP,0,0,0,3,0
298,CCH,0,0,4,0,0
245,AWH,0,0,6,2,0
2140,MER,1,0,5,0,0
1572,PSL,0,0,0,7,0
143,MER,0,1,1,1,1
2075,GLN,0,0,0,3,0
1417,AWH,0,0,0,4,0
221,AWH,0,0,8,0,2
391,ABP,0,1,5,0,0
660,MER,0,0,0,10,0
771,WDL,0,0,1,0,0
2225,CCH,0,0,0,1,1
2323,HIL,8,0,1,0,0
1758,MAY,0,0,0,5,0
1101,MER,0,0,0,6,8
2345,MAY,0,0,0,7,0
2287,VAL,0,0,0,1,0
1023,RVB,0,0,0,4,0
708,VAL,4,0,2,0,0
108,AGB,5,0,1,0,0
1181,AWH,0,0,0,0,8
2146,MAY,0,0,0,4,0
80,AGB,9,0,1,0,0
1034,AWH,0,0,0,3,0
2339,RVB,0,0,0,1,0
2029,HIL,2,0,4,0,0
2144,AWH,7,0,0,2,3
215,AWH,0,0,0,10,0
2334,AWH,0,0,2,1,0
2316,GLN,0,0,0,2,0
219,AWH,0,0,0,10,0
683,GLN,0,0,2,0,0
2321,GLN,0,0,0,5,0
1689,MAY,0,0,0,2,0
867,ABP,1,0,7,0,0
625,ABP,0,0,0,1,0
2338,AGB,0,0,0,5,0
2275,HIL,0,0,2,1,0
2346,MAY,0,0,0,11,0
810,HIL,3,1,8,0,0
2206,MAY,0,0,0,4,0
1286,MAY,0,0,0,1,0
2022,MAY,0,0,0,6,0
403,ABP,0,4,8,0,0
1707,VAL,4,0,3,0,0
1188,AWH,0,2,4,0,0
2028,MER,0,0,2,2,2
2222,RVB,0,0,0,5,0
864,ABP,0,2,8,0,0
807,WDL,0,0,0,1,0
525,PSL,0,0,0,10,0
1492,AWH,0,0,0,1,0
526,PSL,0,0,0,10,0
713,VAL,0,0,10,0,0
1678,HIL,0,0,6,0,0
95,AGB,0,0,1,0,0
414,MER,0,4,0,3,0
2178,HIL,0,0,1,0,0
119,MER,0,0,4,0,0
1913,PSL,0,0,0,10,0
1711,MAY,6,0,0,3,3
1629,VAL,0,0,2,1,0
2355,CCH,0,0,0,5,0
1389,ABP,0,0,1,4,1
99,AGB,0,2,3,2,2
2296,RVB,0,0,0,11,0
2071,MER,0,3,0,1,0
1560,RVB,0,0,0,4,0
714,AWH,2,0,1,0,0
2041,ABP,0,0,0,2,0
2060,AWH,0,0,0,10,0
2193,GLN,0,0,0,7,0
846,ABP,0,1,8,0,0
250,AWH,10,0,10,3,0
1985,WDL,1,0,1,0,1
2278,RVB,0,0,0,10,0
309,CCH,0,0,0,5,0
1692,HIL,0,0,0,1,0
1605,MAY,0,0,0,6,0
130,MER,0,0,0,3,1
2248,AGB,0,0,0,8,0
1729,HIL,0,0,6,1,0
1647,PSL,0,0,0,9,0
1270,VAL,5,0,8,0,0
2322,MAY,0,0,0,7,0
1793,RVB,0,0,0,7,0
1921,VAL,4,0,2,0,0
2036,GLN,0,0,0,9,0
223,AWH,0,0,6,0,0
2165,MAY,0,0,0,7,0
243,AWH,10,0,0,0,0
2268,CCH,0,5,4,0,2
591,ABP,1,0,0,2,2
2122,AGB,0,0,0,8,0
242,AWH,1,0,0,0,2
517,PSL,0,0,0,3,0
603,ABP,0,0,6,0,0
675,RVB,0,0,0,12,0
1628,VAL,3,0,3,0,0
485,CCH,0,4,0,0,0
1535,WDL,2,0,1,0,0
2003,MAY,0,0,0,1,0
1789,ABP,1,1,8,0,0
592,ABP,1,0,2,0,0
2087,GLN,0,0,0,7,0
2318,MAY,0,0,0,6,0
2113,MER,0,0,0,9,0
2344,HIL,0,0,2,1,0
214,AWH,0,7,9,2,0
210,AWH,7,0,0,0,0
2369,AWH,0,0,0,3,0
2073,GLN,0,0,0,6,0
2180,MER,0,0,0,7,0
1781,PSL,0,0,0,10,0
1017,HIL,0,0,1,0,0
193,VAL,1,0,2,0,0
1115,PSL,0,0,0,11,0
1116,PSL,0,0,0,10,0
604,ABP,0,0,0,1,0
388,ABP,0,0,0,1,0
1124,MAY,0,0,0,3,0
1774,ABP,3,2,6,0,0
1676,AWH,0,0,0,8,0
2349,AWH,0,0,0,8,0
1893,ABP,0,0,0,2,0
1892,ABP,0,0,0,1,0
1437,RVB,0,0,0,3,0
481,CCH,0,0,3,0,0
1886,GLN,0,0,0,4,0
1638,WDL,7,0,2,0,2
1778,GLN,0,0,0,12,0
1976,RVB,0,0,0,8,0
2094,MAY,0,0,0,7,0
98,AGB,3,0,0,0,0
90,AGB,0,0,3,1,1
1761,PSL,0,0,0,10,0
1696,AWH,0,0,0,8,0
251,AWH,0,0,0,8,0
275,CCH,1,2,0,0,0
78,AGB,0,0,2,0,0
2304,HIL,0,0,1,0,0
144,MER,1,2,3,1,0
262,CCH,1,0,0,0,0
1243,RVB,0,0,0,9,0
413,MER,0,0,0,0,2
1011,VAL,0,0,0,6,0
1760,CCH,2,0,1,0,0
83,AGB,0,0,1,1,0
2236,AWH,0,1,3,3,4
2187,HIL,0,0,1,0,0
1426,MER,0,3,0,3,0
166,VAL,0,0,1,0,0
1848,RVB,0,0,0,1,0
1010,AWH,2,1,3,0,0
496,WDL,0,0,0,11,0
439,RVB,0,0,0,7,0
578,ABP,1,0,3,0,0
2250,GLN,0,0,0,5,0
1542,PSL,0,0,0,10,0
1135,RVB,0,0,0,8,0
1710,WDL,0,0,2,0,0
1863,AWH,0,0,0,9,0
362,MAY,0,0,0,2,2
2340,HIL,0,0,0,0,1
2327,VAL,4,0,0,0,0
1570,MAY,0,0,0,1,0
395,ABP,8,0,7,0,0
2154,MAY,0,0,0,10,0
158,VAL,0,0,9,0,0
2312,AGB,0,2,2,1,2
1749,RVB,0,0,0,10,0
421,MER,0,2,0,0,0
597,ABP,6,0,1,0,0
339,MAY,0,0,0,4,0
2353,AWH,0,0,0,2,4
666,RVB,0,0,0,9,0
1823,GLN,0,0,0,9,0
2310,ABP,0,0,0,2,0
303,CCH,0,0,3,0,0
1718,RVB,0,0,0,6,0
1591,PSL,0,0,0,10,0
2097,HIL,0,0,5,0,0
665,RVB,0,0,0,2,0
169,VAL,0,0,0,1,0
2090,PSL,0,0,0,12,0
2129,MER,1,0,0,0,0
754,WDL,0,0,1,0,0
305,CCH,4,1,1,0,0
271,CCH,0,0,0,1,1
1450,CCH,0,0,0,7,0
680,GLN,0,0,0,6,0
100,AGB,0,1,2,2,3
2307,HIL,0,0,1,0,0
1384,HIL,0,0,1,0,1
194,VAL,0,0,3,0,0
407,ABP,0,0,10,0,0
2284,MER,0,3,3,1,1
606,ABP,2,0,0,2,2
123,MER,0,1,1,0,0
1765,AGB,3,0,2,2,2
1033,MER,0,1,1,1,0
1635,AGB,0,0,0,1,0
180,VAL,0,0,0,1,0
2043,CCH,0,2,1,0,0
324,CCH,0,0,0,11,0
2059,VAL,1,0,1,0,0
437,RVB,0,0,0,10,0
2190,WDL,0,0,1,1,0
471,AWH,4,1,0,3,1
1813,MER,0,0,0,0,1
840,WDL,0,0,0,1,0
147,VAL,0,0,0,14,0
209,AWH,0,2,3,0,0
2314,CCH,3,0,2,0,0
124,MER,0,2,0,3,2
499,WDL,0,0,0,1,0
1157,HIL,0,0,2,0,1
1856,HIL,0,0,0,0,1
1541,WDL,0,0,0,1,0
208,AWH,0,0,0,0,10
343,MAY,0,0,0,8,0
2213,HIL,0,0,2,0,0
