empId,property_code,ely,tdy,lte,uns,abs
1964,RVB,0,0,0,9,0
1858,MAY,0,0,0,1,0
2215,RVB,0,0,0,2,0
449,RVB,0,0,0,2,0
2308,AGB,0,0,0,0,2
1373,CCH,0,1,0,1,0
2247,PSL,0,0,0,10,0
2342,RVB,0,0,0,4,0
1406,HIL,1,0,6,1,0
925,AWH,0,0,5,0,0
2105,PSL,0,0,0,10,0
1474,AWH,0,0,0,10,0
2076,VAL,0,0,1,1,0
2082,VAL,0,0,1,0,0
240,AWH,0,3,4,1,4
2240,AWH,0,0,0,0,6
2267,OTH,0,0,0,8,0
1296,RVB,0,0,0,8,0
1665,AWH,0,0,0,9,0
2194,GLN,0,0,0,9,0
2023,PSL,0,0,0,10,0
118,MER,0,0,0,10,0
2367,HIL,0,1,2,0,0
630,HIL,0,0,2,1,0
116,MER,0,2,4,2,1
681,GLN,0,0,0,7,0
2392,CCH,0,0,0,2,0
728,CCH,0,0,0,1,0
854,PSL,0,0,0,10,0
137,MER,0,0,0,11,0
2277,PSL,0,0,0,10,0
473,AWH,0,2,5,0,0
1966,MER,0,0,1,0,2
246,AWH,10,0,1,0,0
2210,AGB,0,0,0,4,0
668,RVB,0,0,0,1,0
1872,AGB,0,1,6,1,0
2012,HIL,7,0,0,0,0
285,CCH,9,0,9,0,0
252,AWH,0,5,1,3,1
467,AWH,8,0,7,0,2
164,VAL,2,0,7,0,0
587,ABP,5,3,4,0,0
468,AWH,0,0,2,0,0
197,VAL,0,0,4,0,0
579,ABP,4,2,5,0,1
1724,HIL,0,1,1,0,0
2173,ABP,0,0,0,1,0
255,AWH,0,0,0,10,0
2313,MAY,0,0,0,8,0
1168,VAL,0,0,6,0,0
74,AGB,5,2,7,0,0
1669,MER,0,0,0,8,0
1624,MAY,0,0,0,6,0
2249,GLN,0,0,0,1,0
1989,HIL,0,0,0,6,0
2156,WDL,0,0,0,0,1
1736,GLN,0,0,0,7,0
153,VAL,0,0,4,0,0
2297,HIL,0,0,2,1,1
1768,WDL,0,0,1,0,1
813,HIL,0,1,0,0,1
2216,RVB,0,0,0,2,0
1356,AGB,4,0,1,2,2
537,OTH,0,0,0,10,0
443,RVB,0,0,0,5,0
582,ABP,0,0,0,1,0
1726,HIL,0,0,0,1,0
1641,RVB,0,0,0,9,0
1972,HIL,0,0,3,0,0
1934,GLN,0,0,1,0,0
2341,PSL,0,0,0,9,0
588,ABP,0,0,8,0,0
2389,RVB,0,0,0,3,0
218,AWH,0,0,2,4,0
2077,VAL,0,0,1,0,0
2295,RVB,0,0,0,2,0
2351,MAY,0,0,0,1,0
2256,AGB,0,0,0,9,0
577,ABP,0,0,1,0,0
172,VAL,0,0,0,10,0
2372,VAL,0,0,0,1,0
1549,HIL,4,0,1,1,0
178,VAL,0,0,0,11,0
2166,MAY,0,0,0,8,0
2385,OTH,0,0,0,1,0
1755,PSL,0,0,0,9,0
1671,ABP,0,0,4,0,0
353,MAY,0,0,0,1,1
824,PSL,0,0,0,6,0
899,AWH,0,0,1,0,0
1341,ABP,1,0,9,0,0
2368,HIL,0,0,0,3,0
201,VAL,0,0,1,0,0
851,HIL,0,0,5,0,0
1659,OTH,0,0,0,6,0
548,OTH,0,0,0,1,0
1782,PSL,0,0,0,11,0
562,OTH,2,0,0,0,0
1678,HIL,0,0,6,0,0
95,AGB,0,2,1,0,0
414,MER,0,2,2,3,0
370,MAY,0,0,0,2,0
119,MER,0,0,1,4,0
1913,PSL,0,0,0,8,0
1711,MAY,5,0,0,3,4
427,RVB,0,0,0,2,0
1629,VAL,0,0,1,0,0
2355,CCH,0,0,0,6,0
1389,ABP,0,0,2,5,0
99,AGB,0,1,4,2,2
2296,RVB,0,0,0,11,0
593,ABP,3,0,0,1,0
2071,MER,0,3,1,2,0
1560,RVB,0,0,0,1,0
714,AWH,3,0,2,0,0
2060,AWH,0,0,0,9,0
2193,GLN,0,0,0,8,0
846,ABP,0,0,5,0,0
250,AWH,8,0,9,2,0
1985,WDL,0,0,1,0,1
1588,VAL,0,0,0,1,0
2278,RVB,0,0,0,4,0
309,CCH,0,0,0,3,0
2042,OTH,0,0,0,5,0
261,CCH,0,0,1,0,0
1692,HIL,0,0,0,2,0
1605,MAY,0,0,0,10,0
130,MER,0,0,1,0,0
2248,AGB,0,0,0,6,0
1729,HIL,0,0,7,0,0
1647,PSL,0,0,0,9,0
1270,VAL,0,0,4,0,0
2322,MAY,0,0,0,6,0
1793,RVB,0,0,0,9,0
2245,OTH,0,0,0,8,0
1921,VAL,0,0,2,0,0
2036,GLN,0,0,0,9,0
223,AWH,0,0,9,0,0
785,WDL,1,0,0,0,0
2165,MAY,0,0,0,6,0
243,AWH,10,0,0,1,0
2268,CCH,3,0,2,2,1
591,ABP,0,0,1,2,2
2122,AGB,0,0,0,8,0
1486,MAY,0,0,3,0,0
1477,HIL,0,1,0,0,0
603,ABP,0,1,8,1,0
675,RVB,0,0,0,10,0
1628,VAL,1,0,1,0,0
485,CCH,0,0,2,0,0
1535,WDL,1,1,0,0,0
2003,MAY,0,5,3,0,0
890,AWH,0,0,1,0,0
1789,ABP,1,0,10,0,0
592,ABP,0,0,2,0,0
2087,GLN,0,0,0,5,0
2318,MAY,0,0,0,8,0
2113,MER,0,0,0,9,0
214,AWH,0,8,9,1,0
210,AWH,6,0,0,0,0
2369,AWH,0,0,0,7,0
2380,CCH,0,0,0,3,0
2073,GLN,0,0,0,5,0
570,OTH,0,0,0,5,0
2180,MER,0,0,0,5,0
1781,PSL,0,0,0,10,0
193,VAL,0,0,6,0,0
1115,PSL,0,0,0,11,0
1116,PSL,0,0,0,10,0
604,ABP,0,0,0,2,0
388,ABP,0,0,0,1,0
1124,MAY,1,1,4,2,3
1774,ABP,1,1,7,1,0
1676,AWH,0,0,0,9,0
1893,ABP,0,0,0,1,0
1772,OTH,0,0,0,1,0
481,CCH,0,0,1,0,0
1886,GLN,0,0,0,7,0
1638,WDL,4,1,0,1,0
1778,GLN,0,0,0,10,0
1976,RVB,0,0,0,6,0
1374,OTH,0,0,0,4,0
2094,MAY,0,0,0,9,0
98,AGB,2,0,0,0,0
90,AGB,0,0,5,0,0
1761,PSL,0,0,0,10,0
1696,AWH,0,0,0,10,0
251,AWH,0,0,1,5,1
1154,AWH,0,0,0,4,0
799,WDL,0,0,0,1,0
275,CCH,1,0,1,0,0
78,AGB,0,0,0,1,0
2304,HIL,0,0,2,0,0
144,MER,0,0,2,0,0
262,CCH,0,1,0,0,0
2395,CCH,0,0,0,2,0
1243,RVB,0,0,0,10,0
413,MER,0,0,0,2,1
1011,VAL,0,0,0,6,0
1760,CCH,0,0,1,0,0
83,AGB,0,0,3,0,0
2236,AWH,1,4,5,4,0
1426,MER,0,0,0,1,0
909,HIL,0,0,2,0,0
166,VAL,0,0,2,0,0
1010,AWH,10,0,1,0,0
