empId,property_code,ely,tdy,lte,uns,abs,mp
570,,0,0,0,5,0,0
2180,MER,0,0,0,7,0,0
1781,PSL,0,0,0,10,0,0
193,VAL,0,0,1,0,0,0
1115,PSL,0,0,0,11,0,0
1116,PSL,0,0,0,10,0,0
604,ABP,0,0,0,1,0,0
388,ABP,1,0,1,1,0,0
1124,MAY,0,0,0,1,0,0
1774,ABP,1,5,7,1,1,0
1676,AWH,0,0,0,8,0,0
448,RVB,0,0,0,3,0,0
1893,ABP,0,0,0,2,0,0
1892,ABP,0,0,0,1,0,0
1437,RVB,0,0,0,10,0,0
1772,,0,0,0,1,0,0
481,CCH,0,2,4,0,0,0
1886,GLN,0,0,0,5,0,0
2186,CCH,0,0,0,2,0,0
345,MAY,0,0,3,0,0,0
1638,WDL,0,0,0,10,0,0
1778,GLN,0,0,0,10,0,0
1976,RVB,0,0,0,8,0,0
856,GLN,0,0,0,7,0,0
568,,0,0,0,2,0,0
2094,MAY,0,3,3,1,0,0
98,AGB,0,1,1,0,1,0
90,AGB,0,0,2,2,0,0
241,AWH,2,1,4,1,1,0
1761,PSL,0,0,0,10,0,0
1696,AWH,0,0,0,10,0,0
251,AWH,0,1,1,9,0,0
275,CCH,0,1,1,0,0,0
78,AGB,0,0,1,0,0,0
2050,HIL,0,0,1,0,0,0
144,MER,2,0,3,0,0,0
265,CCH,0,1,0,0,0,0
1243,RVB,0,0,0,11,0,0
413,MER,0,2,0,0,0,0
1011,VAL,0,0,0,6,0,0
1760,CCH,1,0,1,0,0,0
83,AGB,0,0,3,1,0,0
2187,HIL,0,0,0,0,1,0
1426,MER,0,3,1,0,1,0
909,HIL,0,0,3,0,0,0
1848,RVB,0,0,0,1,0,0
1010,AWH,0,0,0,10,0,0
496,WDL,0,0,0,9,0,0
439,RVB,0,0,0,8,0,0
578,ABP,0,0,1,0,0,0
1843,,0,0,0,5,0,0
1485,MAY,0,0,0,1,0,0
1791,HIL,0,0,2,0,0,0
1297,RVB,0,0,0,2,0,0
1298,RVB,0,0,0,1,0,0
244,AWH,0,0,0,0,8,0
1700,CCH,0,0,0,0,1,0
1748,HIL,1,0,0,0,0,0
1542,PSL,0,0,0,5,0,0
1939,WDL,0,0,6,0,0,0
1135,RVB,0,0,0,2,0,0
569,,0,0,0,1,0,0
1710,WDL,0,0,1,0,0,0
789,WDL,0,0,4,1,0,0
939,HIL,1,0,4,1,0,0
1863,AWH,0,0,0,10,0,0
362,MAY,0,0,0,2,2,0
1681,WDL,0,0,6,0,0,0
274,CCH,1,0,0,0,0,2
876,ABP,0,0,0,1,0,0
2095,ABP,0,0,0,2,0,0
1570,MAY,0,0,0,6,0,0
395,ABP,8,0,7,0,0,0
2154,MAY,2,0,0,0,1,0
791,WDL,4,0,6,0,0,0
158,VAL,0,0,7,0,0,0
1749,RVB,0,0,0,10,0,0
421,MER,0,3,0,0,0,0
540,,0,0,0,9,0,0
597,ABP,0,0,2,0,0,0
339,MAY,0,0,0,7,0,0
2079,MAY,1,0,4,0,0,0
1823,GLN,0,0,0,9,0,0
686,GLN,2,1,1,0,0,0
303,CCH,0,0,1,0,0,0
1401,HIL,5,0,0,0,0,0
2054,RVB,0,0,0,1,0,0
1591,PSL,0,0,0,10,0,0
2097,HIL,1,0,6,0,0,0
2090,PSL,0,0,0,10,0,0
2057,WDL,0,0,4,1,0,0
2129,MER,0,0,1,1,1,0
754,WDL,1,0,1,0,0,0
1649,CCH,0,0,1,1,0,0
305,CCH,4,0,0,0,0,0
271,CCH,3,1,1,0,0,0
1450,CCH,0,0,0,9,0,0
680,GLN,0,0,0,3,0,0
100,AGB,0,0,2,2,0,0
1384,HIL,0,0,1,0,0,0
486,CCH,0,0,1,0,2,0
194,VAL,0,0,1,0,0,0
407,ABP,1,1,4,1,1,0
342,MAY,0,0,0,1,0,0
606,ABP,2,0,0,2,2,0
679,GLN,0,0,0,1,0,0
123,MER,0,0,3,0,0,0
1765,AGB,5,0,1,2,2,0
1963,MAY,0,0,0,0,1,0
1033,MER,2,0,4,1,2,0
1635,AGB,0,0,0,2,0,0
2043,CCH,0,4,3,0,0,0
301,CCH,0,0,0,3,0,0
324,CCH,0,0,0,5,0,0
183,VAL,0,0,5,0,0,0
2059,VAL,1,0,1,0,0,0
437,RVB,0,0,0,10,0,0
2190,WDL,0,0,0,1,0,0
559,,0,0,0,10,0,0
471,AWH,3,0,2,6,2,0
1009,MAY,0,0,0,7,0,0
840,WDL,1,0,7,1,0,0
147,VAL,0,0,0,14,0,0
209,AWH,0,2,3,0,0,0
1896,VAL,1,0,0,0,0,0
124,MER,1,1,0,2,1,0
499,WDL,0,0,1,0,0,0
1157,HIL,3,0,3,0,0,0
1856,HIL,1,0,2,0,0,0
1541,WDL,0,0,0,1,0,0
208,AWH,0,0,0,6,6,0
343,MAY,0,0,0,8,0,0
609,ABP,0,0,0,1,0,0
954,WDL,0,1,0,0,0,0
632,HIL,0,0,4,0,0,0
844,ABP,0,1,2,0,0,0
520,PSL,0,0,0,5,0,0
866,ABP,0,0,1,0,0,0
129,MER,0,2,1,2,0,0
410,ABP,2,4,7,1,0,0
1968,WDL,0,0,0,1,1,0
521,PSL,0,0,0,5,0,0
528,PSL,0,0,0,10,0,0
434,RVB,0,0,0,6,0,0
2091,PSL,0,0,0,9,0,0
115,MER,0,0,2,0,0,0
1408,AGB,5,0,1,1,0,0
2116,MAY,0,0,0,0,6,0
233,AWH,0,0,0,4,3,0
404,ABP,0,0,6,0,0,0
389,ABP,7,0,10,0,0,0
