empId,property_code,ely,tdy,lte,uns,abs
388,ABP,0,0,0,1,0
389,ABP,3,1,8,2,2
391,ABP,1,0,8,0,0
394,ABP,0,0,0,1,0
395,ABP,6,0,5,2,1
397,ABP,1,7,6,2,1
402,ABP,0,0,2,0,0
403,ABP,0,2,5,0,0
404,ABP,1,3,9,0,0
405,ABP,0,0,0,1,0
407,ABP,0,2,9,1,0
409,ABP,0,0,0,2,0
576,ABP,1,0,0,0,0
578,ABP,0,0,2,0,0
579,ABP,1,0,7,0,0
582,ABP,0,0,0,3,0
583,ABP,0,0,0,2,0
587,ABP,2,0,1,2,0
588,ABP,0,1,8,0,0
591,ABP,0,0,0,2,2
592,ABP,1,0,5,0,0
593,ABP,0,0,1,0,0
596,ABP,0,0,4,0,0
597,ABP,1,0,1,0,0
603,ABP,0,1,6,0,0
606,ABP,3,0,0,2,1
611,ABP,1,1,8,0,0
613,ABP,0,0,0,3,0
616,ABP,0,0,0,1,0
617,ABP,0,0,0,1,0
621,ABP,1,0,0,3,1
624,ABP,2,0,1,0,0
846,ABP,1,0,3,0,0
863,ABP,1,0,0,0,0
864,ABP,0,0,8,0,1
865,ABP,0,0,0,4,0
866,ABP,0,0,0,1,0
867,ABP,3,0,9,0,0
876,ABP,0,0,0,1,0
878,ABP,0,0,0,1,0
967,ABP,0,0,0,2,0
1043,ABP,9,0,8,0,0
1199,ABP,3,0,6,1,2
1341,ABP,0,1,2,2,0
1389,ABP,1,0,0,1,0
1391,ABP,0,0,4,1,0
1671,ABP,0,1,5,1,3
1674,ABP,2,0,6,0,0
1734,ABP,2,0,7,0,1
1774,ABP,5,1,8,1,0
1789,ABP,3,0,6,2,0
1865,ABP,6,0,3,0,0
1893,ABP,0,0,0,2,0
1961,ABP,0,0,0,1,1
1979,ABP,1,0,0,0,0
1993,ABP,7,0,7,4,3
2070,ABP,0,0,0,1,0
2095,ABP,0,0,0,1,0
2182,ABP,0,2,6,0,0
2205,ABP,0,0,1,0,0
74,AGB,1,0,7,0,0
78,AGB,0,0,1,0,0
80,AGB,8,0,0,0,0
83,AGB,0,0,2,0,0
87,AGB,0,0,0,7,0
88,AGB,0,5,5,0,0
90,AGB,0,1,3,2,0
94,AGB,1,3,1,5,3
95,AGB,1,1,3,0,1
98,AGB,1,0,0,0,0
99,AGB,0,0,1,2,1
100,AGB,1,0,3,0,0
108,AGB,9,0,1,0,0
111,AGB,0,0,2,0,2
411,AGB,1,0,3,0,0
1081,AGB,0,0,0,2,0
1356,AGB,3,0,1,2,2
1408,AGB,5,0,2,2,0
1635,AGB,0,0,0,5,0
1765,AGB,3,0,1,2,2
1872,AGB,0,0,6,3,0
1973,AGB,0,0,3,0,0
1981,AGB,0,0,0,4,0
1999,AGB,2,0,1,0,0
2121,AGB,0,0,0,0,4
2122,AGB,0,0,0,10,0
2203,AGB,0,0,0,8,0
2210,AGB,0,0,0,5,0
2214,AGB,0,0,0,5,0
2248,AGB,0,0,0,3,0
2256,AGB,0,0,0,4,0
2254,ASL,0,0,0,10,0
208,AWH,0,0,0,0,10
209,AWH,0,1,3,1,0
210,AWH,9,0,0,1,0
211,AWH,10,0,0,0,0
212,AWH,0,9,4,1,0
213,AWH,1,2,1,1,0
214,AWH,0,8,8,1,0
215,AWH,0,0,0,9,0
216,AWH,0,0,5,0,0
217,AWH,0,0,0,10,0
218,AWH,1,0,1,7,1
219,AWH,0,0,0,9,0
220,AWH,0,0,0,10,0
221,AWH,0,0,9,0,1
223,AWH,0,0,6,0,0
224,AWH,10,0,10,0,2
226,AWH,0,0,0,10,0
230,AWH,0,0,0,2,0
233,AWH,1,1,0,4,3
236,AWH,0,0,0,1,0
239,AWH,0,0,0,10,0
240,AWH,0,5,5,2,4
242,AWH,3,0,0,1,0
243,AWH,10,0,0,0,0
245,AWH,1,3,8,1,0
246,AWH,2,0,0,6,0
250,AWH,10,0,8,1,0
251,AWH,0,0,0,8,0
252,AWH,0,5,1,2,0
254,AWH,0,0,8,0,1
255,AWH,0,0,0,9,0
375,AWH,0,0,0,0,6
465,AWH,1,0,0,0,0
467,AWH,7,0,7,1,0
468,AWH,4,0,2,0,0
471,AWH,3,0,1,1,2
472,AWH,1,2,7,0,0
473,AWH,0,4,6,0,0
474,AWH,1,1,0,4,0
475,AWH,0,2,4,0,1
714,AWH,4,0,1,5,0
716,AWH,0,0,0,0,1
890,AWH,1,0,0,0,0
925,AWH,0,0,1,0,0
997,AWH,1,1,0,0,0
1010,AWH,0,1,3,5,0
1095,AWH,0,0,0,2,0
1154,AWH,0,0,0,1,0
1163,AWH,0,0,0,9,0
1181,AWH,0,0,0,0,8
1188,AWH,0,0,2,1,0
1326,AWH,0,2,2,5,0
1338,AWH,0,0,0,10,0
1433,AWH,2,1,2,5,0
1474,AWH,0,0,0,8,0
1492,AWH,0,0,0,4,0
1665,AWH,0,0,0,9,0
1676,AWH,0,0,0,8,0
1696,AWH,0,0,0,12,0
1831,AWH,0,0,0,5,0
1863,AWH,0,0,0,10,0
1938,AWH,0,0,0,2,0
2060,AWH,0,0,0,10,0
2144,AWH,2,0,2,8,3
2236,AWH,1,2,2,4,1
2240,AWH,2,0,2,3,0
258,CCH,0,0,0,1,0
260,CCH,0,0,0,1,0
262,CCH,1,0,0,0,0
264,CCH,0,0,1,0,0
270,CCH,6,0,0,0,0
271,CCH,1,0,2,0,0
274,CCH,0,0,1,0,0
275,CCH,0,2,0,0,0
285,CCH,5,0,7,2,0
298,CCH,0,0,1,0,0
300,CCH,1,4,5,0,0
301,CCH,0,0,0,0,2
303,CCH,0,0,1,1,0
305,CCH,1,0,0,0,0
309,CCH,0,0,2,0,0
313,CCH,1,0,0,0,0
317,CCH,0,6,2,0,0
318,CCH,0,8,4,0,0
319,CCH,0,0,4,0,0
324,CCH,0,0,0,12,0
328,CCH,0,1,4,0,0
374,CCH,0,0,0,0,10
480,CCH,0,2,3,0,0
481,CCH,0,0,2,0,0
484,CCH,1,0,0,0,0
728,CCH,0,0,0,1,0
959,CCH,0,0,0,4,0
1105,CCH,0,10,6,0,0
1110,CCH,0,0,0,5,0
1291,CCH,0,1,1,0,0
1373,CCH,2,6,3,0,0
1450,CCH,0,0,0,9,0
1530,CCH,0,0,1,0,0
1576,CCH,2,3,0,1,0
1762,CCH,2,2,0,0,0
1827,CCH,0,3,2,0,0
1846,CCH,0,0,0,8,0
1998,CCH,4,1,1,0,0
2010,CCH,1,4,1,0,1
2043,CCH,0,2,2,0,0
2183,CCH,0,0,3,0,0
2184,CCH,2,0,1,0,0
2197,CCH,1,1,1,0,0
2199,CCH,0,0,1,0,0
2204,CCH,1,4,7,0,0
2225,CCH,0,1,0,1,0
679,GLN,0,0,0,1,0
680,GLN,0,0,0,4,0
