empId,property_code,ely,tdy,lte,uns,abs
2447,RVB,0,0,0,9,0
1964,RVB,0,0,0,3,0
449,RVB,0,0,0,3,0
2308,AGB,4,0,0,0,0
2462,MER,0,0,0,7,0
2247,PSL,0,0,0,10,0
2422,HIL,0,0,0,10,0
1406,HIL,0,0,6,0,0
925,AWH,1,0,3,1,0
2354,HIL,2,0,2,0,0
2105,PSL,0,0,0,11,0
1474,AWH,0,0,0,5,0
405,ABP,0,0,0,1,0
2076,VAL,5,0,0,0,0
422,RVB,0,0,0,3,0
2082,VAL,0,0,1,0,0
240,AWH,1,3,3,0,4
1332,GLN,0,0,2,1,0
1296,RVB,0,0,0,10,0
1665,AWH,0,0,0,9,0
2194,GLN,0,0,0,10,0
2023,PSL,0,0,0,9,0
118,MER,0,0,0,8,0
2367,HIL,1,0,4,0,0
2433,HIL,0,0,5,0,1
630,HIL,0,0,2,1,0
116,MER,0,3,6,0,0
681,GLN,0,5,1,0,1
728,CCH,0,0,0,2,0
854,PSL,0,0,0,8,0
137,MER,0,0,0,11,0
2277,PSL,0,0,0,10,0
473,AWH,0,6,9,1,0
246,AWH,0,0,0,9,0
2210,AGB,0,0,0,5,0
1872,AGB,1,0,6,2,0
2012,HIL,5,0,0,0,0
2030,WDL,0,0,0,1,0
285,CCH,3,0,5,0,0
252,AWH,0,2,0,1,1
467,AWH,7,0,5,1,2
164,VAL,0,0,7,0,0
587,ABP,4,2,1,3,0
468,AWH,2,0,3,0,0
197,VAL,0,0,1,0,0
579,ABP,1,2,2,1,1
1724,HIL,1,0,0,1,0
255,AWH,0,0,0,11,0
2313,MAY,0,0,0,6,0
1168,VAL,1,0,6,0,0
74,AGB,2,0,4,0,0
1624,MAY,0,0,0,5,0
1736,GLN,2,0,4,1,1
153,VAL,0,0,3,0,0
2297,HIL,0,0,5,0,1
813,HIL,0,0,4,0,0
1356,AGB,6,0,1,2,2
443,RVB,0,0,0,12,0
582,ABP,0,0,0,2,0
1641,RVB,0,0,0,9,0
1972,HIL,1,0,5,0,0
2341,PSL,0,0,0,10,0
596,ABP,1,2,6,0,0
588,ABP,1,0,8,0,0
218,AWH,0,0,0,7,2
2437,MAY,0,0,0,3,0
2295,RVB,0,0,0,1,0
2423,AGB,0,0,0,4,0
172,VAL,0,0,0,9,0
1549,HIL,8,0,0,0,0
178,VAL,0,0,0,8,0
2166,MAY,0,0,0,7,0
2167,HIL,0,1,1,1,0
1755,PSL,0,0,0,7,0
1671,ABP,0,0,2,0,0
824,PSL,0,0,0,6,0
899,AWH,0,0,1,0,0
1341,ABP,0,1,4,0,0
2368,HIL,1,0,0,0,0
2363,WDL,0,0,1,0,0
589,ABP,0,0,0,1,0
2471,PSL,0,0,0,7,0
851,HIL,0,0,8,0,0
1782,PSL,0,0,0,10,0
1678,HIL,0,0,2,0,0
2243,HIL,0,0,2,0,0
95,AGB,1,0,1,0,0
414,MER,0,2,0,1,0
2397,MER,0,0,0,7,0
2431,MAY,0,0,0,4,0
370,MAY,0,0,0,1,0
119,MER,0,3,2,0,0
1913,PSL,0,0,0,10,0
2409,HIL,0,0,1,0,0
1711,MAY,5,0,0,3,4
427,RVB,0,0,0,3,0
1629,VAL,0,0,2,0,0
2355,CCH,0,0,0,9,0
1389,ABP,3,1,0,1,2
99,AGB,0,1,4,2,2
2296,RVB,0,0,0,12,0
2071,MER,0,4,0,0,0
714,AWH,0,0,0,8,0
2060,AWH,0,0,0,8,0
2193,GLN,3,0,3,1,2
846,ABP,2,0,6,0,0
250,AWH,10,0,9,2,0
2446,RVB,0,0,0,3,0
1584,WDL,0,0,0,1,0
1985,WDL,1,0,1,0,1
1588,VAL,1,0,1,1,0
2278,RVB,0,0,0,1,0
309,CCH,0,0,0,5,0
2419,RVB,0,0,0,8,0
1692,HIL,0,0,0,2,0
130,MER,0,0,1,2,1
2248,AGB,0,0,0,7,0
1729,HIL,0,0,8,0,0
1647,PSL,0,0,0,10,0
1270,VAL,3,0,8,0,0
2436,CCH,0,0,0,2,0
2322,MAY,0,0,0,5,0
2458,MER,0,0,0,3,0
1921,VAL,4,0,2,0,0
2429,HIL,0,0,4,0,0
2036,GLN,0,1,2,9,4
223,AWH,0,0,9,0,0
2165,MAY,0,0,0,8,0
243,AWH,1,0,0,0,5
591,ABP,0,0,2,3,2
2122,AGB,0,0,0,10,0
242,AWH,2,0,0,4,1
1937,WDL,0,0,1,0,0
603,ABP,0,0,8,0,0
675,RVB,0,0,0,5,0
1628,VAL,0,0,4,0,0
1535,WDL,2,0,0,0,0
2003,MAY,0,0,0,5,0
890,AWH,0,0,0,1,0
1789,ABP,0,1,9,2,0
592,ABP,1,0,4,0,0
2318,MAY,3,0,4,3,0
2113,MER,0,0,0,8,0
214,AWH,0,9,8,0,0
210,AWH,8,1,0,0,0
2369,AWH,0,0,0,10,0
2073,GLN,3,0,6,1,0
1781,PSL,0,0,0,9,0
1017,HIL,0,0,0,7,0
193,VAL,0,0,1,0,0
1115,PSL,0,0,0,18,0
2406,VAL,0,0,5,0,0
1116,PSL,0,0,0,8,0
604,ABP,0,0,0,2,0
388,ABP,0,0,0,2,0
1124,MAY,1,1,0,3,5
1676,AWH,0,0,0,10,0
448,RVB,0,0,0,3,0
1886,GLN,0,0,0,5,0
1532,MAY,0,0,0,9,0
1638,WDL,1,0,0,0,7
1778,GLN,0,0,0,11,0
1976,RVB,0,0,0,4,0
2094,MAY,0,5,3,1,0
98,AGB,0,0,0,1,1
90,AGB,0,0,4,3,0
1761,PSL,0,0,0,9,0
1696,AWH,0,0,0,11,0
2490,PSL,0,0,0,7,0
251,AWH,0,3,3,4,0
1154,AWH,0,0,0,3,0
78,AGB,0,0,0,2,0
2304,HIL,0,1,2,0,0
144,MER,0,1,6,3,0
2395,CCH,0,0,0,10,0
1243,RVB,0,0,0,12,0
413,MER,0,0,0,0,2
1011,VAL,0,0,0,7,0
83,AGB,0,0,2,0,0
2236,AWH,0,0,0,8,0
2187,HIL,0,0,2,0,0
1426,MER,0,2,1,4,0
909,HIL,0,0,4,0,0
166,VAL,0,0,1,0,0
1848,RVB,0,0,0,1,0
1010,AWH,0,0,0,10,0
972,MAY,0,0,0,1,0
496,WDL,0,0,0,9,0
439,RVB,0,0,0,7,0
1485,MAY,0,0,0,9,0
2250,GLN,0,0,0,3,5
1297,RVB,0,0,0,1,0
1748,HIL,0,0,1,0,0
1542,PSL,0,0,0,10,0
1135,RVB,0,0,0,2,0
789,WDL,0,0,2,0,0
1863,AWH,0,0,0,9,0
