empId,property_code,ely,tdy,lte,uns,abs
1964,RVB,0,0,0,13,0
1858,MAY,0,0,0,1,0
2263,MAY,0,0,0,1,0
2215,RVB,0,0,0,3,0
449,RVB,0,0,0,1,0
2308,AGB,0,0,0,6,0
2283,ABP,0,0,0,2,0
1373,CCH,2,3,1,0,0
2247,PSL,0,0,0,10,0
2342,RVB,0,0,0,1,0
1406,HIL,0,0,5,1,0
925,AWH,0,1,3,1,0
2105,PSL,0,0,0,9,0
1474,AWH,0,0,0,10,0
2014,GLN,0,0,0,8,0
422,RVB,0,0,0,6,0
2082,VAL,0,0,2,0,0
240,AWH,0,3,4,2,4
2240,AWH,0,0,1,2,0
1799,RVB,0,0,0,4,0
2172,MAY,0,0,0,6,0
1296,RVB,0,0,0,9,0
1665,AWH,0,0,0,9,0
2194,GLN,0,0,0,9,0
2023,PSL,0,0,0,9,0
118,MER,0,0,0,8,0
1330,RVB,0,0,0,3,0
630,HIL,0,0,3,0,0
116,MER,0,1,4,1,0
681,GLN,0,0,0,6,0
728,CCH,0,0,0,5,0
854,PSL,0,0,0,5,0
137,MER,0,0,0,9,0
2277,PSL,0,0,0,11,0
473,AWH,0,2,8,1,0
1966,MER,0,0,1,3,1
246,AWH,4,0,2,1,0
2210,AGB,0,0,0,3,0
668,RVB,0,0,0,2,0
1335,VAL,0,0,2,0,0
1872,AGB,0,0,6,1,0
2012,HIL,5,0,0,0,0
285,CCH,8,1,9,1,0
252,AWH,0,5,0,0,0
467,AWH,8,0,6,0,0
164,VAL,2,0,5,0,0
587,ABP,3,0,5,2,0
468,AWH,2,0,2,1,0
579,ABP,0,1,5,1,1
1724,HIL,0,1,0,0,0
255,AWH,0,0,0,10,0
2313,MAY,0,0,0,5,0
1081,AGB,0,0,0,1,0
1168,VAL,0,0,3,0,0
74,AGB,2,0,6,0,0
1669,MER,0,0,0,9,0
1624,MAY,0,0,0,7,0
2249,GLN,0,0,0,2,0
2306,HIL,0,2,0,0,4
1989,HIL,0,0,0,5,0
2156,WDL,0,0,0,1,1
1736,GLN,0,0,0,8,0
2297,HIL,0,0,1,0,2
813,HIL,0,0,0,0,3
2216,RVB,0,0,0,6,0
1356,AGB,4,0,1,2,2
443,RVB,0,0,0,12,0
1726,HIL,0,0,2,0,0
1641,RVB,0,0,0,9,0
1972,HIL,0,0,3,0,0
2341,PSL,0,0,0,2,0
596,ABP,1,0,4,0,0
484,CCH,1,0,0,0,0
588,ABP,0,1,9,0,0
1762,CCH,1,1,4,0,0
218,AWH,0,0,0,7,2
2295,RVB,0,0,0,9,0
2256,AGB,0,0,0,8,0
172,VAL,0,0,0,9,0
1549,HIL,1,0,2,0,0
178,VAL,0,0,0,4,0
775,WDL,0,0,9,0,0
2166,MAY,0,0,0,8,0
270,CCH,6,0,0,0,0
2167,HIL,0,2,5,2,0
1755,PSL,0,0,0,12,0
1671,ABP,0,0,1,0,0
824,PSL,0,0,0,5,0
899,AWH,0,0,2,0,0
1341,ABP,1,2,8,2,0
2241,HIL,0,1,2,0,0
201,VAL,0,0,2,0,0
851,HIL,0,0,6,0,0
1782,PSL,0,0,0,10,0
1678,HIL,0,0,2,0,0
2243,HIL,2,0,1,0,0
95,AGB,1,0,2,0,0
414,MER,0,3,1,2,0
119,MER,1,0,2,0,0
1913,PSL,0,0,0,5,0
1711,MAY,6,0,1,3,4
1629,VAL,0,0,2,0,0
1389,ABP,2,0,0,3,1
99,AGB,1,0,2,2,2
2296,RVB,0,0,0,6,0
2071,MER,0,3,0,1,1
1560,RVB,0,0,0,5,0
714,AWH,5,0,2,0,0
2060,AWH,0,0,0,8,0
2193,GLN,0,0,0,9,0
846,ABP,1,1,8,0,0
250,AWH,10,0,9,0,0
2278,RVB,0,0,0,6,0
309,CCH,0,0,0,6,0
1717,WDL,0,0,1,0,0
1692,HIL,0,0,0,2,0
1605,MAY,0,0,0,7,0
130,MER,0,1,0,4,0
2248,AGB,0,0,0,8,0
1729,HIL,0,0,6,0,0
1647,PSL,0,0,0,9,0
1270,VAL,2,0,7,0,0
1793,RVB,0,0,0,9,0
738,MAY,0,0,0,3,0
2008,WDL,0,0,1,0,0
1921,VAL,0,0,1,0,0
2036,GLN,0,0,0,11,0
223,AWH,0,0,5,0,0
2165,MAY,0,0,0,6,0
243,AWH,9,0,0,1,0
2268,CCH,1,3,5,1,0
591,ABP,1,0,0,2,2
2122,AGB,0,0,0,9,0
242,AWH,3,0,0,2,1
603,ABP,0,0,5,0,0
1290,HIL,0,1,3,0,0
675,RVB,0,0,0,10,0
1628,VAL,0,0,1,0,0
1535,WDL,5,0,0,0,0
2003,MAY,1,0,1,0,0
890,AWH,0,0,0,1,0
1789,ABP,2,0,10,1,0
1914,MAY,0,0,0,1,0
592,ABP,0,0,3,0,0
2087,GLN,0,0,0,4,0
2318,MAY,0,0,0,5,0
2113,MER,0,0,0,9,0
2344,HIL,0,0,0,1,0
214,AWH,0,8,9,1,0
210,AWH,9,0,0,0,0
2073,GLN,0,0,0,6,0
1171,MAY,0,0,0,2,0
2180,MER,0,0,0,6,0
1781,PSL,0,0,0,10,0
1017,HIL,0,0,0,1,0
1115,PSL,0,0,0,8,0
1116,PSL,0,0,0,13,0
2270,CCH,0,0,0,0,1
388,ABP,0,0,0,2,0
1124,MAY,0,0,0,4,0
1774,ABP,3,3,7,0,0
1676,AWH,0,0,0,9,0
1892,ABP,0,0,0,1,0
1437,RVB,0,0,0,10,0
481,CCH,1,0,2,0,0
1886,GLN,0,0,0,10,0
345,MAY,0,0,0,7,0
1638,WDL,6,0,3,0,0
1778,GLN,0,0,0,9,0
1976,RVB,0,0,0,11,0
2094,MAY,0,0,0,6,0
90,AGB,0,0,5,1,0
1761,PSL,0,0,0,4,0
1696,AWH,0,0,0,11,0
251,AWH,0,1,1,7,0
1154,AWH,0,0,0,2,0
275,CCH,0,4,1,0,0
78,AGB,0,0,1,0,0
2304,HIL,0,1,0,1,2
144,MER,0,0,2,3,0
1243,RVB,0,0,0,10,0
1011,VAL,0,0,0,7,0
1760,CCH,2,0,1,0,0
83,AGB,0,0,2,0,0
2236,AWH,1,5,4,2,1
1426,MER,0,2,0,2,0
909,HIL,0,1,3,0,0
166,VAL,0,0,0,0,1
1848,RVB,0,0,0,4,0
972,MAY,0,0,0,5,0
496,WDL,0,0,0,7,0
439,RVB,0,0,0,7,0
363,MAY,0,0,0,1,0
2250,GLN,0,0,0,2,0
1958,RVB,0,0,0,2,0
1542,PSL,0,0,0,10,0
1135,RVB,0,0,0,8,0
1710,WDL,2,0,1,0,0
789,WDL,1,0,2,1,0
1863,AWH,0,0,0,10,0
362,MAY,0,0,0,1,2
2327,VAL,2,0,0,0,0
876,ABP,0,0,0,2,0
1570,MAY,0,0,0,6,0
394,ABP,0,0,0,1,0
395,ABP,5,0,7,0,0
2154,MAY,0,0,0,9,0
791,WDL,2,0,3,0,0
158,VAL,0,0,4,0,0
2312,AGB,1,1,1,1,2
1749,RVB,0,0,0,7,0
421,MER,0,1,0,2,0
597,ABP,3,0,1,0,0
339,MAY,0,0,0,8,0
666,RVB,0,0,0,5,0
1823,GLN,0,0,0,7,0
2229,ABP,0,0,0,1,0
686,GLN,0,1,1,0,0
303,CCH,1,0,1,0,0
1718,RVB,0,0,0,2,0
2054,RVB,0,0,0,1,0
1591,PSL,0,0,0,7,0
2097,HIL,0,0,3,0,0
169,VAL,0,0,0,2,0
2090,PSL,0,0,0,12,0
754,WDL,0,0,1,0,0
305,CCH,5,0,0,0,0
271,CCH,2,0,0,0,0
1450,CCH,0,0,0,9,0
680,GLN,0,0,0,7,0
100,AGB,0,0,2,2,2
2307,HIL,0,0,1,0,0
1384,HIL,0,0,1,0,0
194,VAL,0,0,2,1,0
2231,WDL,0,0,0,0,1
407,ABP,1,0,8,1,0
2284,MER,0,0,0,6,0
606,ABP,2,0,1,2,2
123,MER,0,0,0,1,0
1765,AGB,5,0,1,2,2
1033,MER,1,3,3,2,0
1635,AGB,0,0,0,3,0
2043,CCH,0,1,1,0,0
324,CCH,0,0,0,11,0
183,VAL,0,0,1,0,0
437,RVB,0,0,0,9,0
471,AWH,3,0,2,5,0
1009,MAY,0,0,0,6,0
1813,MER,0,0,0,1,0
840,WDL,0,0,3,1,1
147,VAL,0,0,0,13,0
2209,MAY,0,0,0,1,0
209,AWH,0,2,4,0,0
2314,CCH,2,0,3,3,0
124,MER,0,1,0,3,0
499,WDL,1,0,3,1,0
1157,HIL,0,0,4,0,0
1856,HIL,0,0,1,0,0
2006,VAL,8,0,0,1,0
208,AWH,0,0,0,2,7
2211,WDL,0,0,1,0,0
343,MAY,0,0,0,8,0
2213,HIL,0,0,2,0,0
632,HIL,0,0,6,0,0
2262,VAL,0,0,3,0,0
129,MER,0,1,0,3,1
521,PSL,0,0,0,10,0
528,PSL,0,0,0,10,0
434,RVB,0,0,0,5,0
115,MER,0,1,2,0,0
1408,AGB,5,0,3,0,0
2217,MER,0,0,0,7,0
233,AWH,0,2,0,3,3
404,ABP,0,1,9,0,0
389,ABP,3,0,10,0,0
492,WDL,1,0,7,0,0
2293,CCH,0,0,0,7,0
648,HIL,4,0,1,0,0
226,AWH,0,0,0,9,0
1276,HIL,0,3,4,1,0
1543,HIL,0,0,1,0,0
1924,VAL,0,0,0,9,0
2205,ABP,2,0,9,0,0
2128,MER,0,0,0,1,1
2177,GLN,0,0,0,11,0
955,RVB,0,0,0,8,0
